Question,Label
Which Domain focuses on solutions?,Domain
Which is a automobile based Domain?,Domain
Which Domain deals with electrical compartments?,Domain
"Any Domain which delas with resistors, capacitors, and other electrical components?",Domain
Any Domain which works with microprocessors?,Domain
I am interested in Embedded Systems? What should I join?,Domain
Integrated circuits interest me a lot. Which Domain should I join?,Domain
Is there any Domain related to aviation ?,Domain
Which Domain is related to research of aviation technology?,Domain
Domain working aerodynamics of machines?,Domain
Domain focusing on online interactions and discussion sessions?,Domain
Which Domain conducts online events?,Domain
Which Domain conducts gaming events?,Domain
Domain related to photography?,Domain
Which Domain conducts online poster and logo designing events?,Domain
I am interested in Business management. Which domian should I join?,Domain
What is a Domain?,Domain
Why are domians important?,Domain
How many Domains are there in Aaruush?,Domain
How will Domains help me grow personally?,Domain
Will Domains help me make new connections?,Domain
which Domain focuses on innovations?,Domain
I like debates. Which Domain should I join?,Domain
Which Domain will help me improve my literary skills?,Domain
Why is presentatio important?,Domain
How will presentatio help me?,Domain
How is magefficie helpful to Aaruush?,Domain
How is online Domain helpful?,Domain
WHat is Vimanaz?,Domain
How is Vimanaz helpful?,Domain
What is the flagship event of Vimanaz?,Domain
What is the flagship event of Architecture?,Domain
What is the flagship event of Digital Design?,Domain
What is the flagship event of Machinization?,Domain
What is the flagship event of Electrize?,Domain
What is the flagship event of Bluebook?,Domain
How is bluebook helpful for Aaruuush?,Domain
Which Domain is related to bio-metrics and life sciences?,Domain
I like quizes. Which Domain is for me?,Domain
Why is mageficcie importnat?,Domain
Which Domain deals with management skills?,Domain
I am interested in entrepreneurship. What should I join?,Domain
What is robogyan?,Domain
Is robogyan related to robots?,Domain
I am interested in robotics. What should I join?,Domain
Who conducts robotics events?,Domain
What is Konstruction?,Domain
How Is Konstruction important for Aaruush?,Domain
Which Domain deals with building CAD models ?,Domain
Which Domain delas with civil architecture design?,Domain
What is fundaz?,Domain
"Which Domains conduct events like puzzles, quizes etc? ",Domain
Which Domain delas with entertainment activities?,Domain
What is X-Zone?,Domain
Which Domain conducts brainstorming events?,Domain
Which Domain conducts treasure hunts?,Domain
How do Domains help in aaruush main days?,Domain
Which Domain conducts rowing events?,Domain
What is electrizite ?,Domain
What is the work Profile of Team Envisison?,Committee
"Which Domain deals with events related to resistors, diodes ?",Domain
Is Team Envision Domain or Committee?,Committee
All the Domains in Aaruush are related to?,Domain
"In which Domain knowledge related to AI, microprocessors  is tested?",Domain
Which Committee has the largest collection of Designs?,Committee
In which event the articipants have to deal with embeded circuitory?,Domain
Which Domains organizes activities related to flying?,Domain
flying and aviation are related to which Domain?,Domain
Which Domain events are related to aero dynamics?,Domain
Which Domain organizes events that center around the world wide web ?,Domain
"Gaming, web designing, poster & logo making, photography, app development events are organized by ?",Domain
Which Domain gives a chance to compete in the events that center around the world ?,Domain
What is the Work of Creatives?,Committee
What kind of events online Domain conducts?,Domain
Which Domains organizes events related to bioengineering ?,Domain
Which Committee Focuses on Opening the Creative Side of the Team?,Committee
Which Domains organizes events related to life sciences ?,Domain
Which Domains organizes events related to chemistry ?,Domain
Which Domain organizes events to test business skills of students?,Domain
What are the basics of maggeficie?,Domain
"crisis management, marketing and business planning are basics of which Domain ?",Domain
"finance, share markets are basics of which Domain ?",Domain
"entrepreneurs, startups, corporate strategies are basics of which Domain ?",Domain
unconference of which Committee?,Committee
Industrial Conclave of which Committee?,Committee
Guest lectures of which Committee?,Committee
Expo of which Committee?,Committee
Which doamin gives a platform to to presenting innovative and scientific ideas ?,Domain
"Events related to J.A.Ms, debates, exhibitions, demonstrations and showcase your literary skills along with paper presentations ?",Domain
Revival Of Rivers is organised by which committe?,Committee
Which Domain provides opportunity to stand head to head with the advancing technology?,Domain
which Domain formulate your ideas to co-ordinate the events?,Domain
"will help other colleges organize Events, Workshops, Initiatives etc in their colleges across the country.",Committee
motive is the increase the brand value of our fest and to boost it's nation-wide promotion.,Committee
Hospitality of guests?,Committee
top Sponsors/Partners/Accreditations/ Patronages for aaruush in past years?,Committee
Swarm Robotics  is organised by?,Committee
what is the work team outreach do?,Committee
Aaruush Young Minds first organised in which year?,Committee
swastika belongs to which Committee?,Committee
what Aaruush Educates do?,Committee
what Coding Pundits do?,Committee
what do orm do?,Committee
what domian of work bluebook handle?,Committee
how do Quality Assuranceis is helpful?,Committee
What is the flagship event of workshop?,Committee
what is the flagship events of Championships and Challenges?,Committee
top guest lecturer ?,Committee
winner of swasatika will recieve prize amount of?,Committee
what is Colosseum?,Committee
 Colosseum is organised by?,Committee
what is main purpose of SRMRUN?,Committee
what do Informals consist of?,Committee
what do GWR Attempt do?,Committee
GWR Attempts belongs to which Committee?,Committee
what do T-Summit do?,Committee
what do E-Summit do?,Committee
difference between t-summit and e-summit?,Committee
what do Liter of Light do?,Committee
who organises plantation drive?,Committee
why do aaruush organise wednesday speak?,Committee
what do aaruush do under Letter to Heroes?,Committee
what helps to digitalise architecture's core processes?,Domain
what Domain provides a platform to sit at home and enjoy AARUUSH?,Domain
"what Domain handles the event ""Domain academics""?",Domain
who conducts Teachbot?,Committee
"what Committee handles the event ""Luminary Addresses""?",Committee
who teach you to make aquabot using house hold material?,Domain
what do Shutter up do?,Domain
What are the skills which the commitee Creative inbuilts in aspirants?,Committee
how many Domains successfully conducted the workshop series for blockchain and cryptocurrency?,Domain
"what Domain handles the event ""Electrowit""?",Domain
the nasa spaceapp bootcamp was conducted by?,Committee
"what Domain handles the event ""Anigma""?",Domain
"Introduction to Blockchain,Cryptos and NFTs is handle by ?",Committee
who organise wednesday speaks ?,Committee
what Domain conducted the event named Mini Lanstorm?,Domain
Make In INDIA Summit is organised by ?,Committee
Webench power tool workshop conducted by ?,Committee
why aaruush invited mira erda ?,Committee
Quadcopters is handle by which Domain,Domain
what is the purpose of hack summit,Committee
"what commitee handled the workshop named ""emcee training""?",Committee
Name any one of the events that the Domain  Machination handles.,Domain
Hacktrack event referred to ?,Committee
Who conducts coin expo?,Committee
who conducts auto expo?,Committee
who conducts tech expo?,Committee
Event Domain academics is handeled by ?,Domain
what event did the actor Dhruv sehgal conduct in 2019?,Committee
When and what time did AARUUSH JUNIOR commence?,Domain
Canoe challange is conducted by?,Domain
Event Wednesday Speaks is handeled by?,Committee
which were the Domains who organised AARUUSH JUNIOR?,Domain
"when was the event named ""turbo drift"" conducted?",Committee
what is main aim of slingshot ?,Committee
What was the venue of the occasion AARUUSH JUNIOR?,Domain
"where was the event ""forensic investigation"" conducted?",Committee
Event light and photonics is handeled by?,Committee
who organises hack summit?,Committee
How did the event AARUUSH JUNIOR start?,Domain
The event AARUUSH JUNIOR was helpful in bringing out inventiveness of specially which classes?,Domain
Review of shape alloys' is organised by?,Committee
what is the purpose of Microsoft Power BI?,Committee
where was the event Hoverush conducted?,Domain
Innovative and Strategic Thinking is organised by?,Committee
"what was the purpose of the event ""tech trek""?",Domain
where was the Microsoft Azure Workshop held ?,Committee
what led to the delay of Microsoft Azure Workshop on Day 1 ?,Committee
when was the fourth industrial automation workshop conducted?,Committee
what Committee organised autonomous robot challenge?,Committee
what were the subjects mostly covered in AARUUSH JUNIOR?,Domain
how many Domains handled the event named Hoverush?,Domain
what does roboticks do?,Domain
who organises roboticks?,Domain
Finally what wrapped up to the closure of  AARUUSH JUNIOR?,Domain
Review of shape alloy' is conducted by ?,Committee
what was performed in order to delight everyone in AARUUSH JUNIOR?,Domain
what is Yuddhame?,Domain
What was taught in the Microsoft Azure Workshop ?,Committee
Who were the guests in the Microsoft Azure Workshop ?,Committee
"what was the purpose of the workshop ""forensic investigation""?",Committee
how is Yuddhame helpful?,Domain
"i am intrested in business management, which Domain should i join?",Domain
How many days was the National Concrete Canoe Challenge conducted for ?,Domain
"when was the event ""tech fair"" conducted?",Domain
What was the venue of event of Automotive Overhauling Workshop?,Committee
how many Domains handled the event named tech fair?,Domain
Which Committee actually organised Mechanical Overhauling and when for the first time?,Committee
Ardunio is organised by?,Domain
Emcee training workshop is conducted by?,Committee
NCCC of the Konstruction Domain stands for ?,Domain
What was the first round in the NCCC ?,Domain
How did the day 2 of Mechanical Overhauling Workshop start?,Committee
who organises the Constructor?,Domain
robowars was a competition between ?,Committee
Machine learning event is conducted by ?,Committee
the motor bike hauling workshop focused on ?,Committee
what do they do in De-Circuits event?,Domain
Design Dot Com is organised by?,Domain
what do they do in Design Dot Com?,Domain
who installed the automatic wheather system in SRM ?,Committee
What happens in tech rally?,Committee
How was the race track of the NCCC ?,Committee
What were the engiene Specifications in mechanical Overhauling Workshop?,Committee
What happens in Creative reading?,Domain
what do we do in Electrowit?,Domain
how is CodeYuddh helpful?,Domain
What was the engiene specifications done in Mechanical Overhaul Workshop?,Committee
what do we do in CodeYuddh?,Domain
who organises CodeYuddh?,Domain
What happens in game development workshop?,Domain
how long was the event tech trek?,Domain
Aaruush junior is organised for?,Domain
"Which Committee organises the event ""Luminary Hours""?",Committee
On what topic was the wednesday speaks was about on the 10th july 2019 ?,Committee
What happens in automotive overhauling workshop?,Committee
what event was conducted on the occasion of World Suicide Prevention day in 2019?,Committee
What happens in hacktrack?,Committee
"How did the audience connected the Guest in event ""Luminary Hours""",Committee
Who was the guest for the Wednesday speaks on 10th july 2019 ?,Committee
What was the main motto of the Wednesday Speaks ?,Committee
what is Thinkopedia?,Domain
who organises Thinkopedia?,Domain
how Thinkopedia is helpful for us?,Domain
What happens in data analytics and smart grids?,Committee
What happened in underwater robotics?,Domain
"where was the T-Submits organized on 12th and 13th July, 2019 ?",Committee
what is Plethora of Conundrums?,Domain
who organises Plethora ofConundrums?,Domain
which team taught the student how to make aquabot ?,Committee
Where was the Chief Guest of Luminary Hours from and what was he researching about?,Committee
what is Business Conclave?,Domain
who organises Business Conclave?,Domain
Quality assurance is conducted by?,Domain
What were the points on which the Guest of Luminary Hours discussed?,Committee
Who conducts hacktrack?,Committee
What happens in Luminary hours?,Committee
"How many colleges participated in the T-Submits on 12th and 13th July, 2019 ?",Committee
which event involved photographical skills ?,Committee
what Committee handled the event named turbo drift?,Committee
What were the agendas discussed in the T-submits at the end of day 1 ?,Committee
What happens in Arduino?,Committee
What quality assurance teaches?,Domain
Aaruush junior is handeled by?,Committee
what is Luminary Addresses,Committee
Who was the guest of the event of Luminary Hours?,Committee
who organises Luminary Addresses?,Committee
what was the reason due to which the event lost its charm?,Committee
"What was the event ""Hacktrack"" about?",Committee
where was the event turbo drift conducted?,Committee
What did the chief guest speak about in his peresentation in the T-submits ?,Committee
Who conducts web writing?,Committee
How many agendas were discussed in total in the T-submits ?,Committee
what do we do in PHOTOGRAPHY WORKSHOP,Committee
what was the autonomous robot challenge based on?,Committee
how many teams participated in the event Hoverush?,Domain
What happens in web writing?,Committee
"How many total participants were there in the event ""hacktrack""?",Committee
Mini Landstorm is conducted by?,Domain
how many games were played in the event LANSTORM on 29th september 2019?,Domain
What happens in mini landstorm?,Domain
who handle Wednesday Speaks?,Committee
Tech trek is organised by ?,Domain
how is Anigma helpful?,Domain
"How was the day 1 and day 2 of ""Hacktrack"" divided?",Committee
What happens in Tech trek?,Domain
What happens in Colesseum?,Committee
what was the voting result at the end of the T-Submits ?,Committee
Were all the agendas given a proper solution with maximum votes in the T-submits ?,Committee
For how many days was the AARUUSH e-summit conducted?,Domain
Colesseum is organised by?,Committee
photography workshop is conducted by?,Committee
for how many days was the event Hoverush conducted?,Domain
why were some teams diqualified during the event hoverush?,Domain
"What was the second day of ""Hacktrack"" on basics of hacking mainly about?",Committee
how many teams participated in the Autonomous robot challenge?,Committee
how many teams were given prizes for the best robot in the autonomous robot challenge?,Committee
what was the topic of the event Domain Academics ?,Domain
Anigma is organised by?,Domain
what do fundaz do?,Domain
what do Domain academic do?,Domain
who conducts photography workshop?,Committee
"How did the event of ""Hacktrack""  conclude?",Committee
turbo drift is organised by?,Committee
Who organized the event Domain Academics ?,Domain
What did the speakers talk about in the event Domain Academics ?,Domain
"Who was the speaker of the event ""Data Analytics and Smart grids""?",Committee
What happens in turbo drift?,Committee
Workshop on forensic investigation is conducted by?,Committee
Should people interested in photography attend the event Domain Academics ?,Domain
how many sub-events did the event colosseum had?,Committee
for how many days was the event colosseum conducted?,Committee
How many people attended the Domain Academics event ?,Domain
What happened in forensic investigation workshop?,Committee
Who was the speaker of the event Domain Academics ?,Domain
"the sub-event,British Parliamentary Debate was part of which main event?",Committee
Workshop on industrial automation is conducted by?,Committee
"the sub-event,Elevator Pitch was part of which main event?",Committee
What happened in industrial automation workshop?,Committee
"On which Language did the speaker give an idea on the event ""Data Analytics""?",Committee
"What was the topic of the Wednesdays Speaks on 17th July, 2019 ?",Committee
which system was mainly explained in a good manner?,Committee
"when was the event ""career  options and opportunities post covid"" conducted?",Committee
"the sub-event ,Elevator Pitch was part of which main event?",Committee
"the sub-event ,blackout poetry was part of which main event?",Committee
Machination workshop is conducted by?,Committee
Aerospanza is conducted by?,Domain
What happened in machination workshop?,Committee
"what was the topic for the event ,domain academics held on 22nd august 2019?",Committee
What happens in Aerospanza?,Domain
what are the topics covered in role of data analysis and iot in cyber security ?,Committee
Who conducted workshop on blockchain?,Committee
who organise mini landstrom ?,Committee
Who organized and handled the Wednesday Speaks ?,Committee
Code matrix referred to ?,Committee
where was the event unconference conducted?,Committee
"What was the main motto of the event Wednesday Speaks on 17th July, 2019 ?",Committee
Who conducted workshop on NFTs?,Committee
what committe handled progate learning weekend?,Committee
who conduct code matrix ?,Committee
"What was the topic of the Wednesdays Speaks on 31st July, 2019 ?",Domain
"What was the motive of the Wednesday speaks held on 31st July, 2019 ?",Domain
"What was the event ""Luminary Address"" about ?",Committee
what were the two agendas for the event unconference?,Committee
Who conducted workshop on social media marketing?,Committee
who organised  digital transformation robotics ?,Domain
"Who was the guest of honor of the event ""Luminary Address"" ?",Committee
"when was the event ,""effective synergy  of army  and youth"" conducted?",Committee
What did Ms. Bhargavi Sunkara spoke about in the event ?,Committee
who organised the workshop-the digital you?,Committee
when was the workshop s-the digital you conducted?,Committee
how long was the online design challenge,Domain
when was the event The Challenges And Opportunities With Hybrid Electric Vehicles conducted?,Committee
what date did the online design challenge end?,Committee
